timestamp,equity
2025-08-06 11:47:00+00:00,1.0
2025-08-06 11:48:00+00:00,1.0
2025-08-06 11:49:00+00:00,1.0
2025-08-06 11:50:00+00:00,1.0
2025-08-06 11:51:00+00:00,1.0
2025-08-06 11:52:00+00:00,1.0
2025-08-06 11:53:00+00:00,1.0
2025-08-06 11:54:00+00:00,1.0
2025-08-06 11:55:00+00:00,1.0
2025-08-06 11:56:00+00:00,1.0
2025-08-06 11:57:00+00:00,1.0
2025-08-06 11:58:00+00:00,1.0
2025-08-06 11:59:00+00:00,1.0
2025-08-06 12:00:00+00:00,1.0
2025-08-06 12:01:00+00:00,1.0
2025-08-06 12:02:00+00:00,1.0
2025-08-06 12:03:00+00:00,1.0
2025-08-06 12:04:00+00:00,1.0
2025-08-06 12:05:00+00:00,1.0
2025-08-06 12:06:00+00:00,1.0
2025-08-06 12:07:00+00:00,1.0
2025-08-06 12:08:00+00:00,1.0
2025-08-06 12:09:00+00:00,1.0
2025-08-06 12:10:00+00:00,1.0
2025-08-06 12:11:00+00:00,1.0
2025-08-06 12:12:00+00:00,1.0
2025-08-06 12:13:00+00:00,1.0
2025-08-06 12:14:00+00:00,1.0
2025-08-06 12:15:00+00:00,1.0
2025-08-06 12:16:00+00:00,1.0
2025-08-06 12:17:00+00:00,1.0
2025-08-06 12:18:00+00:00,1.0
2025-08-06 12:19:00+00:00,1.0
2025-08-06 12:20:00+00:00,1.0
2025-08-06 12:21:00+00:00,1.0
2025-08-06 12:22:00+00:00,1.0
2025-08-06 12:23:00+00:00,1.0
2025-08-06 12:24:00+00:00,1.0
2025-08-06 12:25:00+00:00,1.0
2025-08-06 12:26:00+00:00,1.0
2025-08-06 12:27:00+00:00,1.0
2025-08-06 12:28:00+00:00,1.0
2025-08-06 12:29:00+00:00,1.0
2025-08-06 12:30:00+00:00,1.0
2025-08-06 12:31:00+00:00,1.0
2025-08-06 12:32:00+00:00,1.0
2025-08-06 12:33:00+00:00,1.0
2025-08-06 12:34:00+00:00,1.0
2025-08-06 12:35:00+00:00,1.0
2025-08-06 12:36:00+00:00,1.0
2025-08-06 12:37:00+00:00,1.0
2025-08-06 12:38:00+00:00,1.0
2025-08-06 12:39:00+00:00,1.0
2025-08-06 12:40:00+00:00,1.0
2025-08-06 12:41:00+00:00,1.0
2025-08-06 12:42:00+00:00,1.0
2025-08-06 12:43:00+00:00,1.0
2025-08-06 12:44:00+00:00,1.0
2025-08-06 12:45:00+00:00,1.0
2025-08-06 12:46:00+00:00,1.0
2025-08-06 12:47:00+00:00,1.0
2025-08-06 12:48:00+00:00,1.0
2025-08-06 12:49:00+00:00,1.0
2025-08-06 12:50:00+00:00,1.0
2025-08-06 12:51:00+00:00,1.0
2025-08-06 12:52:00+00:00,1.0
2025-08-06 12:53:00+00:00,1.0
2025-08-06 12:54:00+00:00,1.0
2025-08-06 12:55:00+00:00,1.0
2025-08-06 12:56:00+00:00,1.0
2025-08-06 12:57:00+00:00,1.0
2025-08-06 12:58:00+00:00,1.0
2025-08-06 12:59:00+00:00,0.9995
2025-08-06 13:00:00+00:00,1.0000724255683082
2025-08-06 13:01:00+00:00,0.9995868228479379
2025-08-06 13:02:00+00:00,1.0004435158931226
2025-08-06 13:03:00+00:00,1.0011011875652158
2025-08-06 13:04:00+00:00,1.0025131852443785
2025-08-06 13:05:00+00:00,1.0034280105906908
2025-08-06 13:06:00+00:00,1.0028470186254972
2025-08-06 13:07:00+00:00,1.0040723799513915
2025-08-06 13:08:00+00:00,1.0030362573702192
2025-08-06 13:09:00+00:00,1.0040372733979435
2025-08-06 13:10:00+00:00,1.0032774759883574
2025-08-06 13:11:00+00:00,1.0049184517055234
2025-08-06 13:12:00+00:00,1.003847204111631
2025-08-06 13:13:00+00:00,1.0036994896655218
2025-08-06 13:14:00+00:00,1.0035220973319197
2025-08-06 13:15:00+00:00,1.0043285403023738
2025-08-06 13:16:00+00:00,1.003018899666678
2025-08-06 13:17:00+00:00,1.0028411801494064
2025-08-06 13:18:00+00:00,1.0029144143865316
2025-08-06 13:19:00+00:00,1.0039467745840516
2025-08-06 13:20:00+00:00,1.0042398219334963
2025-08-06 13:21:00+00:00,1.0050219920666024
2025-08-06 13:22:00+00:00,1.0050183244888946
2025-08-06 13:23:00+00:00,1.0044538285575797
2025-08-06 13:24:00+00:00,1.00412369206937
2025-08-06 13:25:00+00:00,1.0042706561763877
2025-08-06 13:26:00+00:00,1.0048053597301954
2025-08-06 13:27:00+00:00,1.0047941726055758
